Datum_vårdstart;Antal_intensivvårdade
22/02/2021;19
23/02/2021;24
24/02/2021;20
25/02/2021;14
26/02/2021;16
27/02/2021;19
28/02/2021;21
01/03/2021;17
02/03/2021;19
03/03/2021;21
04/03/2021;18
05/03/2021;28
06/03/2021;17
07/03/2021;15
08/03/2021;14
09/03/2021;26
10/03/2021;18
11/03/2021;21
12/03/2021;20
13/03/2021;27
14/03/2021;24
15/03/2021;27
16/03/2021;25
17/03/2021;21
18/03/2021;19
19/03/2021;27
20/03/2021;28
21/03/2021;19
22/03/2021;29
23/03/2021;17
24/03/2021;30
25/03/2021;25
26/03/2021;29
27/03/2021;22
28/03/2021;24
29/03/2021;27
30/03/2021;29
31/03/2021;38
01/04/2021;30
02/04/2021;32
03/04/2021;29
04/04/2021;34
05/04/2021;31
06/04/2021;32
07/04/2021;39
08/04/2021;41
09/04/2021;40
10/04/2021;37
11/04/2021;30
12/04/2021;35
13/04/2021;41
14/04/2021;28
15/04/2021;34
16/04/2021;41
17/04/2021;37
18/04/2021;30
19/04/2021;29
20/04/2021;33
21/04/2021;31
22/04/2021;29
23/04/2021;29
24/04/2021;23
25/04/2021;37
26/04/2021;28
27/04/2021;27
28/04/2021;23
29/04/2021;32
30/04/2021;36
01/05/2021;28
02/05/2021;32
03/05/2021;29
04/05/2021;24
05/05/2021;26
06/05/2021;30
07/05/2021;26
08/05/2021;24
09/05/2021;22
10/05/2021;27
11/05/2021;22
12/05/2021;13
13/05/2021;14
14/05/2021;20
15/05/2021;12
16/05/2021;10
17/05/2021;17
18/05/2021;10
19/05/2021;16
20/05/2021;6
21/05/2021;12
22/05/2021;9
23/05/2021;17
24/05/2021;11
25/05/2021;11
26/05/2021;12
27/05/2021;11
28/05/2021;5
29/05/2021;7
30/05/2021;3
31/05/2021;3
01/06/2021;5
02/06/2021;4
03/06/2021;4
04/06/2021;4
05/06/2021;1
06/06/2021;8
07/06/2021;9
08/06/2021;4
09/06/2021;7
10/06/2021;3
11/06/2021;3
12/06/2021;1
13/06/2021;5
14/06/2021;1
15/06/2021;3
16/06/2021;2
17/06/2021;3
18/06/2021;0
19/06/2021;2
20/06/2021;0
21/06/2021;5
22/06/2021;2
23/06/2021;2
24/06/2021;3
25/06/2021;0
26/06/2021;1
27/06/2021;2
28/06/2021;0
29/06/2021;0
30/06/2021;1
01/07/2021;0
02/07/2021;3
03/07/2021;0
04/07/2021;0
05/07/2021;2
06/07/2021;1
07/07/2021;1
08/07/2021;2
09/07/2021;1
10/07/2021;0
11/07/2021;0
12/07/2021;0
13/07/2021;3
14/07/2021;1
15/07/2021;1
16/07/2021;1
17/07/2021;2
18/07/2021;2
19/07/2021;0
20/07/2021;1
21/07/2021;1
22/07/2021;0
23/07/2021;1
24/07/2021;1
25/07/2021;2
26/07/2021;2
27/07/2021;1
28/07/2021;0
29/07/2021;3
30/07/2021;3
31/07/2021;1
01/08/2021;3
02/08/2021;4
03/08/2021;3
04/08/2021;2
05/08/2021;4
06/08/2021;1
07/08/2021;3
08/08/2021;2
09/08/2021;4
10/08/2021;4
11/08/2021;3
12/08/2021;3
13/08/2021;1
14/08/2021;3
15/08/2021;4
16/08/2021;3
17/08/2021;4
18/08/2021;4
19/08/2021;3
20/08/2021;3
21/08/2021;3
22/08/2021;4
23/08/2021;5
24/08/2021;2
25/08/2021;6
26/08/2021;8
27/08/2021;6
28/08/2021;2
29/08/2021;7
30/08/2021;3
31/08/2021;6
01/09/2021;8
02/09/2021;11
03/09/2021;7
04/09/2021;3
05/09/2021;9
06/09/2021;3
07/09/2021;6
08/09/2021;4
09/09/2021;4
10/09/2021;4
11/09/2021;4
12/09/2021;4
13/09/2021;4
14/09/2021;3
15/09/2021;1
16/09/2021;3
17/09/2021;2
