date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,AY.4.2,B.1.1.529,B.1.1.7,B.1.1.7+E484K,B.1.351,B.1.427/B.1.429,B.1.525,B.1.526,B.1.616,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,B.1.620,B.1.621,B.1.640,C.1.2,C.37,P.1,P.3,UNK,Other
2020-02-28,8,11,1.429,0,0,0,1.083,0.787,0.141,0,0,0,0,0,0,1,0.098,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,3,14,1.857,0,0,0,1.378,0.295,0.183,0,0,0,0,0,0,1,0.098,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,0,14,1.857,0,0,0,1.378,0,0.183,0,0,0,0,0,0,1,0.098,0,0,0,0,0,0,0,0,0,0,5.56,-987.2,-5.59,-8.75,-97.16383375,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,5,19,2.571,0,0,0,1.87,0.492,0.253,0,0,0,0,0,0,3,0.295,0,0,0,0,0,0,0,0,0,0,13.89,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,13,32,4.429,0,0,0,3.15,1.28,0.436,0,0,0,0,0,0,3,0.295,0,0,0,0,0,0,0,0,0,0,13.89,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,30,62,8.571,0,0,0,6.102,2.953,0.844,0,0,0,0,0,0,3,0.295,0,0,0,0,0,0,0,0,0,0,19.44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,25,87,12,0,0,0,8.563,2.461,1.181,0,0,0,0,0,0,6,0.591,0,0,0,0,0,0,0,0,0,0,19.44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,59,146,19.286,0,0,0,14.37,5.807,1.898,0,0,0,0,0,0,7,0.689,0,0,0,0,0,0,0,0,0,0,19.44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,33,179,23.571,0,0,0,17.618,3.248,2.32,0,0,0,2.22,0,0,7,0.689,0,0,0,0,0,0,0,0,0,0,19.44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,46,225,30.143,0,0,0,22.145,4.527,2.967,0,0,0,2.22,0,0,7,0.689,0,0,0,0,0,0,0,0,0,0,19.44,-1053.9,-5.37,-3.44,-103.7286916,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,101,326,43.857,0,0,0,32.086,9.941,4.317,0,0,0,2.21,0,0,10,0.984,0,0,0,0,0,0,0,0,0,0,19.44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,98,424,56,1,1,0.143,41.732,9.646,5.512,0.098,0.098,0.014,2.17,0,0,14,1.378,0,0,0,0,0,0,0,0,0,0,19.44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,196,620,79.714,1,0,0.143,61.023,19.291,7.846,0.098,0,0.014,2.12,0,0,18,1.772,0,0,0,0,0,0,0,0,0,0,19.44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,151,771,97.714,2,1,0.286,75.885,14.862,9.617,0.197,0.098,0.028,2.04,0,0,15,1.476,0,0,0,0,0,0,0,0,0,0,30.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,152,923,111,3,1,0.429,90.845,14.96,10.925,0.295,0.098,0.042,1.96,0,0,16,1.575,0,0,0,0,0,0,0,0,0,0,30.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,71,994,116.429,5,2,0.714,97.833,6.988,11.459,0.492,0.197,0.07,1.88,1,0.098,18,1.772,0,0,0,0,0,0,0,0,0,0,30.56,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,69,1063,119.714,7,2,1,104.624,6.791,11.783,0.689,0.197,0.098,1.81,2,0.197,23,2.264,0,0,0,0,0,0,0,0,0,0,30.56,-1201.4,-5.58,-7.67,-118.246181,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,83,1146,117.143,8,1,1.143,112.794,8.169,11.53,0.787,0.098,0.112,1.75,3,0.295,26,2.559,0,0,0,0,0,0,0,0,0,0,34.26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,119,1265,120.143,14,6,1.857,124.506,11.712,11.825,1.378,0.591,0.183,1.71,3,0.295,45,4.429,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,145,1410,112.857,21,7,2.857,138.777,14.271,11.108,2.067,0.689,0.281,1.68,7,0.689,64,6.299,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,143,1553,111.714,30,9,4,152.852,14.075,10.995,2.953,0.886,0.394,1.67,31,3.051,207,20.374,0,0,0,0,0,0,0,0,0,0,47.22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,180,1733,115.714,38,8,5,170.568,17.716,11.389,3.74,0.787,0.492,1.66,35,3.445,265,26.082,0,0,0,0,0,0,0,0,0,0,47.22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,135,1868,124.857,49,11,6.286,183.855,13.287,12.289,4.823,1.083,0.619,1.65,56,5.512,317,31.2,0,0,0,0,0,0,0,0,0,0,47.22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
