date,cases
2021-01-28,4085
2021-01-29,2400
2021-01-30,0
2021-01-31,0
2021-02-01,0
2021-02-02,9649
2021-02-03,4310
2021-02-04,3758
2021-02-05,3388
2021-02-06,0
2021-02-07,0
2021-02-08,0
2021-02-09,8112
2021-02-10,4070
2021-02-11,4333
2021-02-12,3834
2021-02-13,0
2021-02-14,0
2021-02-15,0
2021-02-16,9458
2021-02-17,4233
2021-02-18,4920
2021-02-19,4144
2021-02-20,0
2021-02-21,0
2021-02-22,0
2021-02-23,10933
2021-02-24,5371
2021-02-25,4995
2021-02-26,4844
2021-02-27,0
2021-02-28,0
2021-03-01,0
2021-03-02,11804
2021-03-03,6179
2021-03-04,4838
2021-03-05,4831
2021-03-06,0
2021-03-07,0
2021-03-08,0
2021-03-09,11014
2021-03-10,5917
2021-03-11,5300
2021-03-12,5335
2021-03-13,0
2021-03-14,0
2021-03-15,0
2021-03-16,12762
2021-03-17,6781
2021-03-18,6467
2021-03-19,5735
2021-03-20,0
2021-03-21,0
2021-03-22,0
2021-03-23,14063
2021-03-24,7649
2021-03-25,7706
2021-03-26,6328
2021-03-27,0
2021-03-28,0
2021-03-29,0
2021-03-30,16427
2021-03-31,8441
2021-04-01,8305
2021-04-02,0
2021-04-03,0
2021-04-04,0
2021-04-05,0
2021-04-06,21802
2021-04-07,6814
2021-04-08,7822
2021-04-09,7772
2021-04-10,0
2021-04-11,0
2021-04-12,0
2021-04-13,19105
2021-04-14,8879
2021-04-15,7095
2021-04-16,7658
2021-04-17,0
2021-04-18,0
2021-04-19,0
2021-04-20,16692
2021-04-21,7510
2021-04-22,7736
2021-04-23,6267
2021-04-24,0
2021-04-25,0
2021-04-26,0
2021-04-27,14911
2021-04-28,7266
2021-04-29,7158
2021-04-30,5926
2021-05-01,0
2021-05-02,0
2021-05-03,0
2021-05-04,14950
2021-05-05,7041
2021-05-06,6526
2021-05-07,5671
2021-05-08,0
2021-05-09,0
2021-05-10,0
2021-05-11,13812
2021-05-12,6330
2021-05-13,0
2021-05-14,9192
2021-05-15,0
2021-05-16,0
2021-05-17,0
2021-05-18,10017
2021-05-19,4619
2021-05-20,3411
2021-05-21,3168
2021-05-22,0
2021-05-23,0
2021-05-24,0
2021-05-25,6034
2021-05-26,2732
2021-05-27,1366
2021-05-28,0
2021-05-29,0
2021-05-30,0
2021-05-31,0
2021-06-01,0
2021-06-02,0
2021-06-03,8520
2021-06-04,1069
2021-06-05,0
2021-06-06,0
2021-06-07,0
2021-06-08,2671
2021-06-09,1165
2021-06-10,831
2021-06-11,727
2021-06-12,0
2021-06-13,0
2021-06-14,0
2021-06-15,1180
2021-06-16,0
2021-06-17,0
2021-06-18,0
2021-06-19,0
2021-06-20,0
2021-06-21,0
2021-06-22,3378
2021-06-23,504
2021-06-24,378
2021-06-25,0
2021-06-26,0
2021-06-27,0
2021-06-28,0
2021-06-29,847
2021-06-30,247
2021-07-01,563
2021-07-02,327
2021-07-03,0
2021-07-04,0
2021-07-05,0
2021-07-06,850
2021-07-07,353
2021-07-08,225
2021-07-09,232
2021-07-10,0
2021-07-11,0
2021-07-12,0
2021-07-13,669
2021-07-14,367
2021-07-15,347
2021-07-16,364
2021-07-17,0
2021-07-18,0
2021-07-19,0
2021-07-20,992
2021-07-21,479
2021-07-22,583
2021-07-23,458
2021-07-24,0
2021-07-25,0
2021-07-26,0
2021-07-27,1355
2021-07-28,641
2021-07-29,619
2021-07-30,626
2021-07-31,0
2021-08-01,0
2021-08-02,0
2021-08-03,1860
2021-08-04,929
2021-08-05,864
2021-08-06,845
2021-08-07,0
2021-08-08,0
2021-08-09,0
2021-08-10,2283
2021-08-11,1236
2021-08-12,1055
2021-08-13,1035
2021-08-14,0
2021-08-15,0
2021-08-16,0
2021-08-17,2811
2021-08-18,1320
2021-08-19,1288
2021-08-20,1018
2021-08-21,0
2021-08-22,0
2021-08-23,0
2021-08-24,2774
2021-08-25,1270
2021-08-26,1511
2021-08-27,1274
2021-08-28,0
2021-08-29,0
2021-08-30,0
2021-08-31,3400
2021-09-01,1104
2021-09-02,1214
2021-09-03,1394
2021-09-04,0
2021-09-05,0
2021-09-06,0
2021-09-07,2924
2021-09-08,1711
2021-09-09,1375
2021-09-10,1482
2021-09-11,0
2021-09-12,0
2021-09-13,0
2021-09-14,3656
2021-09-15,1097
2021-09-16,1203
2021-09-17,1009
2021-09-18,0
2021-09-19,0
2021-09-20,0
2021-09-21,1986
2021-09-22,911
2021-09-23,762
2021-09-24,766
2021-09-25,0
2021-09-26,0
2021-09-27,0
2021-09-28,1766
2021-09-29,854
2021-09-30,859
2021-10-01,769
2021-10-02,0
2021-10-03,0
2021-10-04,0
2021-10-05,1879
2021-10-06,714
2021-10-07,835
2021-10-08,739
2021-10-09,0
2021-10-10,0
2021-10-11,0
2021-10-12,1738
2021-10-13,905
2021-10-14,799
2021-10-15,669
2021-10-16,0
2021-10-17,0
2021-10-18,0
2021-10-19,1662
2021-10-20,807
2021-10-21,792
2021-10-22,802
2021-10-23,0
2021-10-24,0
2021-10-25,0
2021-10-26,2275
2021-10-27,1259
2021-10-28,892
2021-10-29,1090
2021-10-30,0
2021-10-31,0
2021-11-01,0
2021-11-02,2761
2021-11-03,1152
2021-11-04,844
2021-11-05,825
2021-11-06,0
2021-11-07,0
2021-11-08,0
2021-11-09,2098
2021-11-10,1326
2021-11-11,1014
2021-11-12,939
2021-11-13,0
2021-11-14,0
2021-11-15,0
2021-11-16,2622
2021-11-17,1294
2021-11-18,1220
2021-11-19,1128
2021-11-20,0
2021-11-21,0
2021-11-22,0
2021-11-23,3825
2021-11-24,2076
2021-11-25,2052
2021-11-26,2160
2021-11-27,0
2021-11-28,0
2021-11-29,0
2021-11-30,6011
2021-12-01,2639
2021-12-02,2437
2021-12-03,2210
2021-12-04,0
2021-12-05,0
2021-12-06,0
2021-12-07,7412
2021-12-08,3335
2021-12-09,3163
2021-12-10,3162
2021-12-11,0
2021-12-12,0
2021-12-13,0
2021-12-14,9472
2021-12-15,4044
2021-12-16,4022
2021-12-17,4130
2021-12-18,0
2021-12-19,0
2021-12-20,0
2021-12-21,12681
2021-12-22,4688
2021-12-23,5059
2021-12-24,0
2021-12-25,0
2021-12-26,0
2021-12-27,0
2021-12-28,21247
2021-12-29,9103
2021-12-30,11121
2021-12-31,0
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,42969
2022-01-05,17514
2022-01-06,0
2022-01-07,41383
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,70641
2022-01-12,21939
2022-01-13,25567
2022-01-14,25566
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,97248
2022-01-19,42725
2022-01-20,41374
2022-01-21,42295
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,138985
2022-01-26,50495
2022-01-27,41791
2022-01-28,55180
2022-01-29,0
2022-01-30,0
2022-01-31,0
2022-02-01,113454
2022-02-02,39205
2022-02-03,36541
2022-02-04,28129
