Entity,Code,Day,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces
Sweden,SWE,2021-08-01,13.143,13.857,6,-28.286,268.286,-43.429
Sweden,SWE,2021-08-02,12.714,13.286,6.286,-28.571,251.286,-43
Sweden,SWE,2021-08-03,12.429,12.571,6.143,-28.286,248.429,-42.429
Sweden,SWE,2021-08-04,12.143,12.286,5.857,-27.714,253,-41.857
Sweden,SWE,2021-08-05,11.857,12.143,5.429,-26.857,266.143,-41.143
Sweden,SWE,2021-08-06,11.286,11.857,5.286,-26.286,273.571,-40.429
Sweden,SWE,2021-08-07,10.714,11.857,5.286,-27,270.429,-40.571
Sweden,SWE,2021-08-08,9.857,11.857,5.429,-27.571,261.714,-40.429
Sweden,SWE,2021-08-09,9.286,11.571,5.143,-27.286,256,-38.571
Sweden,SWE,2021-08-10,8.429,11.286,5.143,-27.286,239.429,-36.714
Sweden,SWE,2021-08-11,7.714,10.857,5.143,-27.143,225.714,-34.714
Sweden,SWE,2021-08-12,7.286,10.571,5,-26.857,214.286,-32.714
Sweden,SWE,2021-08-13,7.714,11,4.714,-26.571,207.857,-30.857
Sweden,SWE,2021-08-14,8.143,11.286,4.714,-26,206.286,-30.143
Sweden,SWE,2021-08-15,8,11.286,4.714,-25.714,205.857,-29.429
Sweden,SWE,2021-08-16,6.857,10.571,4.571,-25.571,195.714,-28
Sweden,SWE,2021-08-17,5.429,9.857,4.571,-25.714,178.857,-26.857
Sweden,SWE,2021-08-18,4.143,9.714,4.571,-25.714,159,-25.286
Sweden,SWE,2021-08-19,3.429,9.857,4.429,-25.429,143.143,-23.714
Sweden,SWE,2021-08-20,3.571,10.286,4.143,-24.714,135.857,-22.143
Sweden,SWE,2021-08-21,4.143,10.429,4,-24.143,141.143,-21.571
Sweden,SWE,2021-08-22,4.286,10.143,3.857,-23.714,147,-21.143
Sweden,SWE,2021-08-23,4.143,9.857,3.429,-22.571,152.714,-20.286
Sweden,SWE,2021-08-24,4.571,10,2.857,-21.286,162.571,-19.286
Sweden,SWE,2021-08-25,5.429,9.857,2.571,-20.571,161,-18.857
Sweden,SWE,2021-08-26,5.714,8.143,2.714,-20.429,149.714,-18.571
Sweden,SWE,2021-08-27,6.286,6.857,2.857,-20.143,140,-18.286
Sweden,SWE,2021-08-28,6.857,5.714,3.143,-20.571,126.714,-18.429
Sweden,SWE,2021-08-29,7.714,4.571,3.286,-20.286,119.143,-18.429
Sweden,SWE,2021-08-30,8.286,3.286,3.286,-19.857,116.571,-18.286
Sweden,SWE,2021-08-31,8.857,2,3.286,-19.429,115.857,-18.143
Sweden,SWE,2021-09-01,8.429,0.571,3.286,-19,119.429,-18
Sweden,SWE,2021-09-02,7.857,1.571,3.143,-19,126.714,-17.571
Sweden,SWE,2021-09-03,7.143,2.571,3,-19.143,132,-17
Sweden,SWE,2021-09-04,6.857,3.714,2.857,-18.714,141.286,-16.857
Sweden,SWE,2021-09-05,5.857,4.571,2.857,-19.286,142.286,-17.286
Sweden,SWE,2021-09-06,4.429,5.429,3,-20.143,135.571,-16.857
Sweden,SWE,2021-09-07,3.143,6.286,3.143,-20.857,128.429,-16.286
Sweden,SWE,2021-09-08,2.286,7,3.143,-21.429,127.429,-15.571
Sweden,SWE,2021-09-09,1.857,6.714,3,-21.286,129.143,-15
Sweden,SWE,2021-09-10,1.429,6.429,3,-21.286,128.571,-14.571
Sweden,SWE,2021-09-11,0.714,6.143,3.143,-22.286,120.143,-14.857
Sweden,SWE,2021-09-12,-0.143,5.857,3.429,-23.286,110.143,-15.286
Sweden,SWE,2021-09-13,-0.286,5.714,3.429,-23.143,110,-14.857
Sweden,SWE,2021-09-14,-0.429,5.571,3.286,-23.143,109,-14.571
Sweden,SWE,2021-09-15,-0.714,5.429,3.143,-23.143,105.714,-14.429
Sweden,SWE,2021-09-16,-1.714,4.714,3.286,-24,93.143,-14.571
Sweden,SWE,2021-09-17,-2,4.714,3.429,-24.714,83.429,-14.857
Sweden,SWE,2021-09-18,-2.143,4.571,3.429,-25,81.429,-15
Sweden,SWE,2021-09-19,-2.286,4.429,3.286,-25,82.571,-14.857
Sweden,SWE,2021-09-20,-2.286,4.429,3.286,-25.571,77.857,-15
Sweden,SWE,2021-09-21,-2.714,4.143,3.429,-26.286,70.143,-15
Sweden,SWE,2021-09-22,-2.857,3.857,3.571,-26.714,67.429,-14.714
Sweden,SWE,2021-09-23,-3,3.571,3.714,-27.143,64,-14.286
Sweden,SWE,2021-09-24,-2.143,3.857,3.571,-26.857,64.286,-13.857
Sweden,SWE,2021-09-25,-0.714,4.143,3.286,-25.857,69,-13.429
Sweden,SWE,2021-09-26,0.571,4.429,3,-24.857,76.143,-13
Sweden,SWE,2021-09-27,0.857,4.286,2.857,-24.714,77.714,-12.571
Sweden,SWE,2021-09-28,1.143,4.286,2.857,-24.429,78.429,-12.429
Sweden,SWE,2021-09-29,1.143,4,2.714,-24.714,74.571,-12.714
Sweden,SWE,2021-09-30,1.857,4.286,2.571,-24.429,76.143,-12.857
Sweden,SWE,2021-10-01,1.143,3.429,2.571,-24.857,73,-13
Sweden,SWE,2021-10-02,0.429,3,2.857,-26,62.286,-13.857
Sweden,SWE,2021-10-03,-0.857,2.286,3.286,-27.571,48.286,-15.286
Sweden,SWE,2021-10-04,-1.857,2,3.429,-28,43.857,-15.429
Sweden,SWE,2021-10-05,-2.429,1.429,3.286,-28.286,41.857,-15.429
Sweden,SWE,2021-10-06,-2.714,1.429,3.429,-28.429,40.857,-15.143
Sweden,SWE,2021-10-07,-2.714,1.429,3.286,-28.143,44.714,-14.857
Sweden,SWE,2021-10-08,-2.714,1.429,3.143,-27.857,48.857,-14.714
Sweden,SWE,2021-10-09,-3.143,1.286,3.143,-27.571,53.571,-14.714
Sweden,SWE,2021-10-10,-3.286,1.429,3,-27.143,57.857,-14.571
Sweden,SWE,2021-10-11,-3.571,1,3,-27.286,58.143,-14.571
Sweden,SWE,2021-10-12,-3.286,1.143,3,-27.286,60.286,-14.429
Sweden,SWE,2021-10-13,-3.286,0.857,2.857,-27.286,63,-14.429
Sweden,SWE,2021-10-14,-3.857,0.571,3,-27.714,58.857,-14.429
Sweden,SWE,2021-10-15,-4.286,0.429,3.286,-28,53.857,-14.429
Sweden,SWE,2021-10-16,-4.571,0.286,3.286,-28.429,49.857,-14.571
Sweden,SWE,2021-10-17,-4.571,0.143,3.429,-28.286,51,-14.714
Sweden,SWE,2021-10-18,-4.143,0.143,3.429,-28.143,50.571,-14.571
Sweden,SWE,2021-10-19,-4.429,0.143,3.571,-28.429,45.143,-14.571
Sweden,SWE,2021-10-20,-4.571,0.429,3.714,-28.429,39.286,-14.571
Sweden,SWE,2021-10-21,-4.571,0.429,3.714,-28.286,37.429,-14.429
Sweden,SWE,2021-10-22,-4.143,0.714,3.571,-28.143,37.857,-14.286
Sweden,SWE,2021-10-23,-3.714,1,3.571,-28,38.286,-14.143
Sweden,SWE,2021-10-24,-4,0.857,3.714,-28.571,32.286,-14.286
Sweden,SWE,2021-10-25,-3.286,1.571,3.714,-28.429,30.714,-14.143
Sweden,SWE,2021-10-26,-2.429,2.143,3.571,-28,32.571,-13.857
Sweden,SWE,2021-10-27,-1.571,2.429,3.429,-27.714,32,-13.571
Sweden,SWE,2021-10-28,-0.286,3.286,3.286,-27.286,32.857,-13.429
Sweden,SWE,2021-10-29,0.429,3.571,3.143,-26.857,33.571,-13.286
Sweden,SWE,2021-10-30,1,3.714,3,-26.286,32,-13.429
Sweden,SWE,2021-10-31,2.286,4.714,2.714,-25.429,35.857,-13.429
Sweden,SWE,2021-11-01,2.571,4.286,2.857,-25.714,36,-14.571
Sweden,SWE,2021-11-02,2.857,4,3,-26,35.714,-15.714
Sweden,SWE,2021-11-03,3,3.857,3.143,-26.429,37.714,-17
Sweden,SWE,2021-11-04,3.286,3.571,3.286,-26.857,40.429,-18.714
Sweden,SWE,2021-11-05,3.286,3.286,3.714,-27.571,41.143,-20.857
Sweden,SWE,2021-11-06,1.857,2.714,3.857,-27.571,41,-22
Sweden,SWE,2021-11-07,0.571,1.714,4,-28.286,33.714,-22.714
Sweden,SWE,2021-11-08,-0.571,1.286,3.857,-28,31.429,-21.429
Sweden,SWE,2021-11-09,-2.286,0.429,3.857,-28,26.429,-20.286
Sweden,SWE,2021-11-10,-3.143,0.286,3.714,-27.571,25.286,-18.857
Sweden,SWE,2021-11-11,-4.429,-0.286,3.714,-27.429,21.143,-17
Sweden,SWE,2021-11-12,-5.286,-0.429,3.571,-27,18.429,-14.714
Sweden,SWE,2021-11-13,-4.571,0.143,3.714,-28,14.429,-13.857
Sweden,SWE,2021-11-14,-4.286,0.857,3.714,-27.857,17.571,-13.286
Sweden,SWE,2021-11-15,-4.571,0.571,3.714,-28,17.429,-13.286
Sweden,SWE,2021-11-16,-4,1,3.714,-27.857,20,-13.143
Sweden,SWE,2021-11-17,-4.286,0.571,3.857,-28.143,18.286,-13.143
Sweden,SWE,2021-11-18,-4.286,0.714,3.857,-27.857,18.286,-13.143
Sweden,SWE,2021-11-19,-4,0.857,3.857,-27.857,16.429,-13.143
Sweden,SWE,2021-11-20,-3.857,0.571,4,-27.714,15.714,-13.143
Sweden,SWE,2021-11-21,-3.571,0,4.143,-27.857,16.286,-13.286
Sweden,SWE,2021-11-22,-3,0.286,4.143,-27.714,15.571,-13.286
Sweden,SWE,2021-11-23,-2.429,0.571,4.143,-27.571,15.429,-13.429
Sweden,SWE,2021-11-24,-1.714,1,4.143,-27.286,16.143,-13.571
Sweden,SWE,2021-11-25,-0.286,1.857,4,-27.286,14.714,-13.714
Sweden,SWE,2021-11-26,1.286,2.286,3.857,-27.143,14.143,-14
Sweden,SWE,2021-11-27,2.286,2.857,3.714,-27,12.714,-13.857
Sweden,SWE,2021-11-28,4.286,4,3.571,-26.429,12,-13.429
Sweden,SWE,2021-11-29,4.857,4.571,3.714,-26.571,11.143,-13.571
Sweden,SWE,2021-11-30,4.714,4.714,3.857,-26.714,9.143,-13.857
Sweden,SWE,2021-12-01,4,4.714,4,-27,6.857,-14.143
Sweden,SWE,2021-12-02,2.286,3.857,4.429,-27.286,6.143,-14.571
Sweden,SWE,2021-12-03,0.143,3.143,4.714,-27.571,4.714,-14.857
Sweden,SWE,2021-12-04,-1.143,2.714,4.857,-27.571,6.429,-15.286
Sweden,SWE,2021-12-05,-3.571,1.714,5.143,-28.571,4.286,-16.143
Sweden,SWE,2021-12-06,-4.429,1.286,5.286,-28.714,3,-16.286
Sweden,SWE,2021-12-07,-4.857,1,5.286,-29,2.286,-16.143
Sweden,SWE,2021-12-08,-4.571,1.286,5.286,-29.286,2.571,-16
Sweden,SWE,2021-12-09,-4.286,1.714,5.143,-29.857,2.571,-15.714
Sweden,SWE,2021-12-10,-4.857,1.429,5.286,-30.571,1.857,-15.571
Sweden,SWE,2021-12-11,-5.429,1.429,5.429,-31.286,0.143,-15.286
Sweden,SWE,2021-12-12,-5.857,1.571,5.429,-31.429,0.143,-14.857
Sweden,SWE,2021-12-13,-5.571,2.143,5.429,-31.714,1,-14.714
Sweden,SWE,2021-12-14,-5,2.714,5.429,-32,2.286,-14.714
Sweden,SWE,2021-12-15,-4.429,3.143,5.429,-32.143,2.857,-14.714
Sweden,SWE,2021-12-16,-4,3.571,5.571,-32,4.286,-14.714
Sweden,SWE,2021-12-17,-3,4.286,5.571,-31.857,5.857,-14.571
Sweden,SWE,2021-12-18,-2.714,4.857,5.571,-32,5.429,-14.857
Sweden,SWE,2021-12-19,-2.143,5.143,5.714,-32.286,5.857,-14.714
Sweden,SWE,2021-12-20,0.143,7.143,5.714,-32.429,5.857,-15.571
Sweden,SWE,2021-12-21,2.143,9.429,5.857,-32.571,5.286,-16.571
Sweden,SWE,2021-12-22,4.429,12.714,6.143,-32.857,4.429,-18.857
Sweden,SWE,2021-12-23,6,16.857,6.857,-34.286,2.286,-24.286
Sweden,SWE,2021-12-24,-4,9.429,8.286,-39,-1.571,-33.714
Sweden,SWE,2021-12-25,-12.286,3.143,8.571,-42.571,-3.286,-38.857
Sweden,SWE,2021-12-26,-13.857,1,8.286,-43.429,-2.857,-41.143
Sweden,SWE,2021-12-27,-15.286,-1.286,9.286,-45.143,0,-46
Sweden,SWE,2021-12-28,-17.429,-4,10.429,-47,1,-50.429
Sweden,SWE,2021-12-29,-19.857,-6.714,11.286,-48.571,3.714,-53.571
Sweden,SWE,2021-12-30,-21.143,-8.143,11.714,-49.429,5.143,-54.286
Sweden,SWE,2021-12-31,-17.857,-3.571,12.143,-48.429,13.714,-53.714
Sweden,SWE,2022-01-01,-18.429,-4.714,12.429,-48,14.286,-53.714
Sweden,SWE,2022-01-02,-19.286,-4.286,12.857,-48.429,11.286,-52.714
Sweden,SWE,2022-01-03,-21.286,-4.571,12.714,-48.429,8.286,-50.714
Sweden,SWE,2022-01-04,-22.714,-4.714,12.429,-48.286,8.714,-49
Sweden,SWE,2022-01-05,-24.429,-5.571,12.286,-48.429,6.571,-47.571
Sweden,SWE,2022-01-06,-29.571,-11.571,13.429,-50.143,13.714,-50.143
Sweden,SWE,2022-01-07,-26.143,-10.571,13.143,-49.429,6.571,-46.571
Sweden,SWE,2022-01-08,-21.286,-6,13.143,-48.571,4.857,-42.857
Sweden,SWE,2022-01-09,-22.571,-6.429,13.286,-48.857,4.857,-42.429
Sweden,SWE,2022-01-10,-23.571,-6.857,13,-48.429,4.857,-40.429
Sweden,SWE,2022-01-11,-24.857,-7.429,12.571,-48,2.857,-38.143
Sweden,SWE,2022-01-12,-26.429,-8.857,12.286,-47.571,1.714,-35.571
Sweden,SWE,2022-01-13,-24.857,-7.429,10.714,-45.286,-7,-28.429
Sweden,SWE,2022-01-14,-24.714,-6.857,9.857,-44.143,-6,-24.429
Sweden,SWE,2022-01-15,-23.857,-5.714,9.714,-44,-2,-23.857
Sweden,SWE,2022-01-16,-24,-5.714,9.714,-44.429,-2.571,-24.143
